"modelName","serialNumber","inspectionDate","hoursPerWeek","hourMeterReading","TrackLinkInstalledDate","TrackLinkWornValueLeft","TrackLinkWornValueRight"
"D6NXL","AKM01957","2018-03-05","40","9016","""2005-12-07T00:00:00+0200""","67","67"
"D6NXL","AKM01957","2018-03-05","40","9016","""2005-12-07T00:00:00+0200""","47","57"
"D6NXL","AKM01957","2018-03-05","40","9016","""2005-12-07T00:00:00+0200""","",""
"D5NXL","BMA07216","2018-04-19","40","8035","""""","75","68"
"D9G","66A12756","2017-05-11T00:00:00-0400","40","3006","""2013-05-15T00:00:00-0400""","34","52"
"D11T","GEB00630","2017-10-23T00:00:00Z","40","38740","""2015-08-20""","15","16"
"D3GLGP","BYR00420","2017-08-11T13:07:23-0400","40","4314.3","""2016-12-16T00:00:00Z""","35","32"
"963D","LCS01007","2017-06-28T10:45:25-0500","40","8942","""2012-06-04T00:00:00-0500""","",""
"D10T","RJG02073","2018-02-21","40","","""""","50","75"
"D4KIILGP","KRR00331","2018-03-21","40","1887.7","""""","39","35"
"D11R","AAF00179","2018-01-16","40","99483","""2017-05-30T00:00:00-0600""","82","93"
"D8T","FCT00150","2017-05-30T15:49:47-0500","40","5962","""2011-03-28T00:00:00-0500""","56","56"
"D7F","94N04462","2018-05-11","40","","""""","20","<0"
"D9RLRC","WDM01048","2018-02-20","160","19887.9","""""","79","74"
"D10T","RJG00609","2017-05-08T14:51:36-0400","40","29267","""2017-05-04T00:00:00-0400""","<0","<0"
"D5MXL","3CR00413","2018-05-03","40","8415","""""","21","24"
"D8T","KPZ01212","2017-07-26","40","21453","""""","<0","<0"
"D10T","RJG01586","2017-09-20T13:22:05-0500","40","52642","""2017-02-15T00:00:00-0600""","85","94"
"374DL","PAS00690","2018-01-26","40","12972","""""","<0","<0"
"320CL","PAB06953","2017-02-01T11:27:03-0500","40","4819","""2014-02-05T00:00:00-0500""","<0%","<0%"
"D8T","KPZ02815","2017-09-15T17:03:44-0400","40","19446","""2015-05-20T20:00:00-0400""","77","82"
"D5KIILGP","KYY01818","2018-01-24","40","4232","""2017-07-23T19:00:00-0500""","55",""
"D5KIILGP","KYY01818","2018-01-24","40","4232","""2017-07-23T19:00:00-0500""","53",""
"D6NLGP","Pba02299","2018-05-14","40","1702","""""","23","23"
"D9R","WDM04595","2018-04-13","40","2917","""2018-01-19""","112","100"
"320BL","7JR00567","2018-03-09","40","","""""","98","100"
"D10T","RJG01230","2017-11-21T00:00:00+1000","40","11189","""2007-10-28T00:00:00Z""","28","23"
"D7RII","BRM00917","2018-02-21","40","","""2011-02-04T00:00:00Z""","4",""
"320DFMLL","GKS399","2017-02-16T16:57:31-0500","30","3859","""2015-02-25T00:00:00-0500""","10","7"
"330DL","MWP02849","2017-09-20T06:34:38-0400","40","6955","""2011-09-05T00:00:00-0400""","--",""
"D5GLGP","RGK03355","2017-05-26T10:14:08-0400","40","6116","""2017-05-17T00:00:00Z""","15","16"
"D5GXL","WGB01046","2018-02-09","40","9650","""""","27","27"
"D6NLGP","GHS00846","2018-02-09","40","6134","""""","42","52"
"D6KIILGP","RST00708","2017-09-20T10:55:50-0400","40","2702","""2014-04-14T00:00:00Z""","50","42"
"D11T","JEL00250","2017-12-29","40","16293","""""","0","<0"
"D10N","2YD01447","2017-12-12","40","58456","""""","18","24"
"D6RIIXW","AEP00792","2018-05-07","40","15286","""""","66","60"
"D11T","GEB00775","2018-01-04","40","49347","""2017-11-25T00:00:00-0700""","10","12"
"D6TLGP","KSB01365","2017-10-06T14:54:02-0500","40","9299","""2016-04-21T00:00:00Z""","26","34"
"324DL","LAB00265","2017-11-02T13:54:33-0400","40","","""2017-03-29T00:00:00Z""","50","55"
"311CU","CKE01785","2018-02-15","40","3002","""2006-04-04""","54","50"
"D6TXL","GMK01331","2018-02-12","40","2062","""2014-04-24T00:00:00-0400""","",""
"320DL","SPN00259","2018-06-20","16.39","6417","""2013-06-05T00:00:00-0400""","18","18"
"D65EX12","211000","2017-04-05T10:45:54-0400","40","3542","""2011-04-14T00:00:00-0400""","<0","<0"
"D11R","7PZ01300","2017-10-10T00:00:00Z","","81177","""2016-09-01T00:00:00Z""","59","62"
"D6TLGP","KSB01365","2017-10-10T00:00:00Z","40","","""2016-04-21T00:00:00Z""","14",""
"324DL","JJG00714","2018-06-12","40","12467","""""","28","18"
"D10T","RJG01191","2017-10-12T10:10:22-0600","40","47004","""2017-05-05T00:00:00Z""","79","87"
"375L","1JM00047","2018-01-11","40","22867","""""","9","12"
"D6TLGP","MH700352","2018-04-04","40","2598","""2017-07-08""","36","36"
"D6NLGP","PBA01022","2018-03-23","40","4675","""2016-09-28T20:00:00-0400""","70","62"
"D8RLRC","7XM01065","2018-05-09","","","""""","8","10"
"D6KIILGP","RST01868","2017-11-09T07:48:02-0500","40","2704","""2015-11-21T00:00:00-0500""","100","100"
"D11R","7PZ01633","2018-03-13","","73755","""2018-01-15""","34","36"
"D5NLGP","AKD00249","2018-05-03","40","4775","""""","15","15"
"D6NLGP","PBA02455","2017-10-04","40","1506.2","""""","53","53"
"330DL","MWP01626","2018-01-26","40","8247","""2009-01-01""","70","63"
"D5NLGP","Akd01716","2018-02-27","40","11386","""2010-01-01""","55","53"
"D6MLGP","4JN00525","2018-03-14","40","754","""2017-07-26T00:00:00-0400""","40","40"
"D8T","FCT00203","2017-10-18T08:20:02-0500","","6780","""2013-06-21T00:00:00Z""","28","30"
"320DL","Phx00404","2018-02-21","40","1606","""""","18","9"
"320CLRR","PAC00743","2017-10-03T12:45:46-0700","40","12021","""2005-03-31T00:00:00Z""","9","9"
"D6NLGP","PBA02346","2017-10-31T10:35:31-0500","40","2030","""2017-01-20T00:00:00Z""","10","8"
"D11N","4HK00533","2017-07-25T09:13:16-0600","","48050","""2017-03-15T00:00:00-0600""","28","28"
"D6NXL","LJR01485","2018-02-27","40","5387","""""","78",""
"D10R","3KR75044","2018-06-19","40","7229","""""","22","24"
"953D","LBP02003","2017-11-09T13:38:55-0600","40","1301","""2015-10-06T00:00:00-0500""","20","18"
"953D","LBP02003","2017-11-09T13:38:55-0600","40","1301","""2015-10-06T00:00:00-0500""","18","15"
"314ECR","ZJT00930","2016-09-07T00:00:00Z","40","1667","""2014-12-31T00:00:00-0500""","<0%","<0%"
"D8T","KPZ02160","2018-04-24","40","6619","""2012-02-23""","40","40"
"D5KXL","KWW1022","2016-08-24T00:00:00Z","40","1956","""2015-08-01T00:00:00-0400""","33","22"
"336FL","RKB20039","2018-05-01","40","","""""","21",""
"D8T","kpz01686","2018-06-12","78.03","9243","""2018-04-05""","28","28"
"D11T","AMA00190","2018-06-17","106.04","34035","""""","22","34"
"D8T","MLN00307","2017-10-27T12:23:11-0600","40","6074","""2015-10-13T00:00:00Z""",">120","50"
"963","21Z04455","2017-04-11T15:30:58-0400","40","10618","""2013-04-19T00:00:00-0400""","40","41"
"D9T","REX00357","2016-12-16T11:31:46-0600","40","2364","""2015-09-15T00:00:00Z""","52","64"
"D8RII","6YZ00718","2018-05-21","40","8541","""""","98","97"
"312DL","JBC00936","2017-09-26T11:10:56-0300","40","1500","""2014-03-03T00:00:00-0300""","32","22"
"D7RXR","AGN00951","2017-05-22T12:40:51-0500","40","5605","""2016-10-01T00:00:00-0500""","27","29"
"330D","FFK00232","2016-11-16T00:00:00Z","40","","""2008-11-01T00:00:00+1300""","98",""
"D6KIILGP","RST00740","2017-01-23T00:00:00Z","40","4237","""2014-04-29T00:00:00-0400""","43","55"
"D10T","RJG00162","2017-11-29","100","50431","""2015-06-01T00:00:00Z""","3","2"
"D6RIIILGP","WRG00157","2018-04-16","40","12429","""""","50","46"
"D10R","3KR01868","2018-05-15","40","18893","""""","28","34"
"D8RLRC","7XM03620","2018-03-07","40","17640","""2010-07-02T00:00:00-0400""","74","72"
"D11T","JEL00177","2018-02-06","40","13552","""2012-03-31T00:00:00+1300""","54","53"
"D8RLRC","7XM01068","2017-06-14","40","8446.4","""""","25","34"
"D6RLGP","8TM00581","2017-02-22T09:52:10-0500","40","15445","""2011-10-01T00:00:00Z""","7","10"
"D4GLGP","TLX00941","2017-08-09T15:51:54-0400","40","5184","""2008-08-21T00:00:00Z""","79","79"
"D9R","WDM04066","2018-01-20","40","17060","""2016-12-18T00:00:00+0000""","43","43"
"D10T","RJG04125","2016-08-29T00:00:00-0800","40","30636","""2016-02-27T00:00:00-0900""","32","35"
"320C","PAB06950","2018-04-24","40","5526","""""","<0",""
"963D","LCS01955","2017-09-14T12:34:04-0400","40","4193","""2013-10-11T00:00:00-0400""","62","70"
"D8T","KPZ1121","2017-12-13","40","12674","""""","95","94"
"D6NXL","GB600501","2018-06-08","13.71","680","""""","3","3"
"D6TLGP","ZJB01604","2018-02-20","40","4220","""2017-12-05""","",""
"336D2L","ZCT00505","2018-01-22","40","4461","""2015-02-20""","7","<0"
"D6TXL","GMK00679","2017-06-22T07:43:53+1200","40","4006","""2017-06-19T00:00:00Z""","2","<0"
"D8T","KPZ03171","2017-12-04T00:00:00-0500","40","13710","""2016-05-16T00:00:00Z""","98","98"
"D6RIIILGP","WRG00648","2018-02-13","40","5500","""2006-11-21T00:00:00Z""","",""
"D10T","RJG00823","2018-04-24","40","22748","""""","22","46"
"963","21Z04946","2018-02-09","40","3944","""""","16",""
"D10N","3SK00614","2018-05-30","5.80","84386","""2015-10-01T00:00:00-0600""","97","89"
"D3KLGP","LLL00169","2018-04-04","40","4159","""""","52","52"
"320DLRR","HJC00140","2018-06-20","","7558","""2015-01-01""","23","28"
"D10T","RJG0000234","2017-02-28T11:48:38+0700","40","","""2015-01-01T00:00:00+1100""","",""
"527CA","3ds00253","2018-02-23","40","21765","""""","34","38"
"D6R","DMP00205","2017-05-17T00:00:00Z","40","11553","""2017-06-01T00:00:00-0400""","<0","<0"
"D6NLGP","MG500736","2018-04-12","40","4154","""""","118","118"
"D5KIILGP","Ky203198","2018-02-01","40","546","""""","24","24"
"D8LSA","53Y02126","2018-03-09","40","5695","""2015-01-01""","64","67"
"D9R","WDM02588","2018-04-17","40","22622","""2017-10-10""","33","33"
"D9R","WDM03237","2017-06-02T00:00:00Z","40","25126","""2016-12-11T00:00:00+0000""","30","33"
