"modelName","serialNumber","inspectionDate","hoursPerWeek","hourMeterReading","TrackLinkInstalledDate","TrackLinkWornValueLeft","TrackLinkWornValueRight"
"D7","48A08214","2017-06-30T21:22:00-0400","40","","""2000-01-01T00:00:00-0500""","12","31"
"DML XL1200","DML HP SER US009695","2018-06-12","40","6635","""""","3","10"
"D6TXL","GMK01388","2018-05-01","40","1784","""2013-10-22""","18","12"
"D9T","Rex00525","2018-02-12","40","","""""","3","3"
"D4CIIILGP","4LS00235","2017-06-14T13:41:00-0500","40","8550","""2003-08-19T00:00:00Z""","44","59"
"D10R","AKT00624","2018-02-01","40","61712","""""","74","66"
"374FL","NFJ10033","2017-04-25T00:00:00-0500","40","1","""2017-02-13T00:00:00Z""","<0","<0"
"D11R","7PZ01629","2018-03-27","40","63341","""2018-02-10""","14","14"
"D6T","SMC00282","2018-05-18","40","22055","""""","79","85"
"D11R","7PZ01347","2018-01-04","140","63720","""2015-10-12T00:00:00Z""","98","109"
"D6HII","3ZF01276","2018-04-27","40","18021","""""","22","22"
"750J","167196","2017-09-08","40","2596","""2016-10-19T20:00:00-0400""","33","33"
"D11R","7PZ01298","2018-03-07","","52736","""2018-02-01""","0","0"
"D9R","8BL01003","2018-02-13","40","13446","""""","33","35"
"D5GLGP","FDW00418","2016-08-09T13:45:05-0500","40","1623","""2002-02-25T00:00:00-0600""","19","22"
"D8RLRC","9EM00546","2017-08-18","40","16357","""2015-12-12T00:00:00-0500""","52","50"
"D6NLGP","PBA02827","2017-08-21T00:00:00Z","40","2598","""2016-02-16T00:00:00Z""","43","43"
"D8T","KPZ03618","2017-10-23T10:21:41-0400","40","","""2017-07-16T20:00:00-0400""","63","63"
"390DL","WBT00185","2017-07-11T14:36:59-0400","40","3793","""2011-12-29T00:00:00Z""","<0","<0"
"D7E","TAN01245","2018-06-12","40","","""2017-10-28""","84","94"
"324DL","JJG00696","2015-06-11","40","5830","""""","36","27"
"324DL","JJG01272","2017-05-17","40","5285.2","""""","75","70"
"D6K2LGP","RST01312","2016-04-14T00:00:00+00:00","40","409","""2015-07-31T00:00:00-0400""","3","0"
"D6TXW","TMY00257","2017-02-28","40","1166.8","""2014-12-08T00:00:00-0600""","12","12"
"D9T","RJS01091","2018-05-10","40","18041","""2015-04-06T00:00:00Z""","50","48"
"D11T","AMA00406","2018-05-31","118.81","30447","""""","38","46"
"D11N","74Z01147","2018-05-02","40","","""""","<0","6"
"D11N","74Z01147","2018-05-02","40","","""""","",""
"D6T","PEZ00657","2018-05-18","8","3810","""2013-04-01""","42","44"
"D7G","92V07109","2018-03-28","1","1329.","""""","45","45"
"D8T","FMC484","2017-12-20","40","4600","""2017-03-01T00:00:00-0600""","73","74"
"D10T","RJG00162","2017-02-20T00:00:00Z","80","47700","""2015-06-01T00:00:00Z""","107","99"
"D8T","KPZ00754","2017-02-06T00:00:00-0800","40","22965","""2016-07-14T17:00:00-0700""","120","113"
"307D","DSG01591","2016-06-22T00:00:00Z","40","2049","""2011-06-02T00:00:00-0400""","<0%","<0%"
"D10T","RJG03065","2017-07-10T08:35:33-0700","40","24357","""2016-10-18T00:00:00-0700""","87","79"
"329EL","PLW01184","2017-02-06T00:00:00-0600","40","4106","""2013-02-07T00:00:00-0600""","32","32"
"325BL","2JR03606","2017-10-03T10:33:28-0400","","13383","""2017-04-13T00:00:00-0400""","4","4"
"336D","M4T02333","2017-04-24T10:38:28-0500","40","","""2017-02-23T00:00:00-0500""","13","13"
"D10N","3SK00513","2016-08-26T00:00:00Z","40","54574","""2015-08-03T00:00:00-0500""","10","7"
"521B","DR8942","2017-11-20T11:02:57-0500","40","5395","""2009-08-23T00:00:00Z""",">120",""
"D5KIIXL","KW202514","2017-06-07T11:04:50-0400","40","62","""2017-04-24T00:00:00-0400""","1","1"
"D10T","RJG01290","2017-09-28T13:18:23-0500","40","18403","""2017-09-08T05:00:00000Z""","55","55"
"374DL","PAS00929","2018-05-15","40","9907","""""","24","21"
"336D2L","ZCT00253","2017-08-30","40","7210","""2016-09-08T00:00:00Z""","<0","<0"
"D11T","GEB00758","2017-11-01","40","","""2017-04-17T09:30:34-0400""","27","26"
"D6KIILGP","RST01189","2017-02-20T00:00:00Z","40","1035","""2015-02-25T00:00:00-0500""","3","<0"
"349F","HPD00509","2017-08-28T07:35:46-0400","40","2825","""2016-08-01T00:00:00-0400""","12","18"
"325B","2JR02340","2018-04-26","40","20032","""""","42","42"
"D6K2","RST01970","2017-01-18T00:00:00Z","40","1616","""2015-01-05T00:00:00-0500""","74","74"
"D5GLGP","RKG01607","2017-03-30T13:31:56-0400","40","","""2013-08-06T00:00:00-0400""","39","33"
"320DFMLL","GKS00238","2017-06-07T09:23:20-0400","40","10550","""2010-11-15T00:00:00-0500""","117","117"
"D11T","GEB00706","2018-06-19","100","29547","""2018-01-01""","4","4"
"305SR","DMA11099","2018-06-20","40","9040","""""","45","45"
"D10T","RJG02408","2017-10-25T00:00:00Z","40","35689","""2017-02-28T00:00:00-0600""","63","68"
"345CL","PJW01086","2018-02-24","40","","""2006-05-01""","",""
"D8T","KPZ03956","2017-08-20T07:06:13-0500","80","17805.7","""2016-04-14T00:00:00Z""","24","25"
"D8RLRC","9EM00496","2018-01-12","40","9027","""""","90","94"
"D6TXW","SLJ00322","2018-02-07","30","5063","""2014-08-06T00:00:00-0400""","28","32"
"D5MXL","6GN02788","2017-11-03T00:00:00-0500","40","3707","""2002-03-27T00:00:00-0600""","60","63"
"D5MXL","6GN02788","2017-11-03T00:00:00-0500","40","3707","""2002-03-27T00:00:00-0600""","--",""
"D6NLGP","DJY01513","2017-02-09T09:42:15-0600","40","9041","""2011-11-28T00:00:00Z""","15","17"
"D8T","MB800179","2018-03-14","40","513","""""","2","2"
"D8T","J8B03147","2017-11-28T8:31:30-0500","40","11022","""2016-07-15T12:00:00-0500""","68","62"
"315CL","CJC00560","2018-05-10","40","7008","""""","28","23"
"336D2L","ZCT01098","2018-04-21","50","8498.4","""""","14","7"
"336DL","J2F00309","2017-09-13T00:00:00Z","40","37500","""2011-01-09T00:00:00Z""","22","21"
"D8T","FCT01454","2017-06-19","40","4262","""2015-06-27""","28","46"
"D5KIILGP","KYY01574","2018-05-24","17.96","3136","""2017-02-14T00:00:00Z""","33","33"
"963D","LCS02485","2016-04-27T14:15:39-0400","40","964","""2015-08-10T00:00:00-0400""","18","18"
"325DL","A3R01121","2018-03-05","40","10706","""""","28","24"
"323D","BYM00654","2018-02-05","40","","""""","65","80"
"D10T","RJG03037","2018-01-11","100","23844","""""","35","28"
"308E","FJX04381","2017-10-20T07:55:24-0400","30","2191","""2015-11-19T00:00:00-0500""","23","25"
"314E L CR","ZJT01526","2016-07-13T08:58:51-0400","40","876","""2015-11-17T00:00:00Z""","0","<0%"
"D9T","RJS00842","2018-06-01","40","19095","""""","56","59"
"D6MXL","3WN03328","2018-01-23","40","13685","""""","73","82"
"D8T","FMC00306","2017-06-16T12:03:16-0400","40","2062","""2017-06-16T00:00:00Z""","30","25"
"D10T","JJW00175","2017-10-25T00:00:00Z","40","10538","""2016-10-12T00:00:00-0500""","110","117"
"D11N","4HK00600","2018-04-23","40","42504","""2018-01-15""","14","16"
"329E","PLW01700","2017-02-17T00:00:00Z","40","2573","""2015-01-01T00:00:00-0600""","8","8"
"D6TLGP","ZJB01257","2018-05-02","40","4633","""""","62",""
"336D2L","LAM00326","2018-01-23","100","2511","""2017-03-05T00:00:00-0500""","10","7"
"D11T","7PZ01331","2017-02-14T16:01:46+0800","40","10000","""2016-02-14T00:00:00+0800""","98","100"
"D6T","LAE00548","2018-03-19","40","9473.5","""2016-08-24T00:00:00-0300""",">120",">120"
"D9T","TWG00197","2018-05-25","48.72","14767","""""","101","100"
"D5KIILGP","KYY00619","2018-03-14","40","2019","""""","51","58"
"D7R","DSH00461","2018-05-09","40","2659","""2017-01-01""","16","18"
"349EL","TFG00500","2018-02-08","40","8769","""""","5","5"
"953B","05MK02154","2018-06-18","40","","""""","3","3"
"D7RIIXR","2EN00898","2017-03-22T12:42:56-0400","40","9099","""2009-03-02T00:00:00-0500""","90","94"
"D7RIIXR","2EN00898","2017-03-22T12:42:56-0400","40","9099","""2009-03-02T00:00:00-0500""","",""
"D7RIIXR","2EN00898","2017-03-22T12:42:56-0400","40","9099","""2009-03-02T00:00:00-0500""","",""
"D7RIIXR","2EN00898","2017-03-22T12:42:56-0400","40","9099","""2009-03-02T00:00:00-0500""","",""
"D7RIIXR","2EN00898","2017-03-22T12:42:56-0400","40","9099","""2009-03-02T00:00:00-0500""","",""
"D7RIIXR","2EN00898","2017-03-22T12:42:56-0400","40","9099","""2009-03-02T00:00:00-0500""","",""
"D8RLRC","7XM01964","2018-04-04","40","5837","""""","42","40"
"D6NXL","LJR01607","2018-01-06","","3594","""""","6","3"
"320E","WBK00250","2018-05-09","40","5365","""2011-12-07""","28","32"
"365B","DER00248","2016-04-05","40","9211","""""","51","51"
"D10R","3KR00407","2017-09-26T00:00:00Z","40","57990.6","""2016-11-09T00:00:00-0600""","85","94"
"320EL","WBK01591","2017-12-13","40","4263","""""","32","28"
"315CL","CJC03966","2018-06-04","40","3102","""""","9","28"
"D6NLGP","PBA00401","2018-01-17","40","7253","""""","30","35"
"D7RIILGP","ABJ00653","2017-12-28","40","45908","""2017-04-28T00:00:00-0500""","40","36"
"D8N","9TC02020","2018-02-03","40","","""""","",""
"D5KIIXL","KW200348","2018-06-04","24.07","2751","""2015-09-29T00:00:00-0400""","20","16"
"336D2L","LAM00326","2018-05-21","100","3889","""2017-03-03""","17","14"
"D8T","KPZ02666","2018-01-17","40","21162","""2015-01-20T00:00:00Z""",">120",">120"
"D10N","3SK00980","2017-11-28","70","","""""","24","28"
"D8TLGP","FCT01421","2017-07-14T11:49:47-0500","40","","""2014-05-02T00:00:00Z""","",""
"D6RXL","5LN02427","2017-08-10T00:00:00Z","40","","""2017-01-02T00:00:00Z""","29","22"
"D8T","J8B03199","2018-02-20","40","","""""","0",""
"320CL","ANB00486","2018-01-31","40","13438","""2004-01-01""","28","23"
"D10T","RJG04257","2016-12-19T17:05:43-0800","108","19666","""2015-03-13T00:00:00Z""","73","68"
"D51PX22","B10321","2018-06-19","9.77","8805","""2017-06-11T20:00:00-0400""","<0","<0"
"D7RIILGP","ABJ01587","2017-12-19","40","15723","""2014-09-25T00:00:00Z""","102","102"
"349DL","WTD00131","2017-10-06","40","10107.3","""2011-09-11T00:00:00+1000""","59","59"
"D10T","RJG03076","2018-05-08","40","16290.6","""2014-10-21T00:00:00Z""","59","65"
"D6TXL","WES00360","2018-05-25","10.50","1402","""2015-06-03T00:00:00-1000""","38","38"
"D8T","KPZ01453","2017-08-31","40","22135","""2016-04-05T00:00:00Z""","79","83"
"D6RIIXL","BLT00198","2018-02-01","40","8087","""2014-12-01""","18","18"
"D10T","RJG01575","2017-05-12T00:00:00Z","125","35250","""2016-12-02T00:00:00Z""","25","33"
"D11T","GEB00229","2017-12-05T12:04:16-0700","","47902","""2017-08-31T06:00:00000Z""","28","22"
"D3GXL","JMH02626","2018-01-27","40","","""2006-11-23T00:00:00-0500""","49","49"
"D6NLGP","MG500337","2018-01-19","40","2284","""2016-08-02""","33","28"
"336DL","J2F00224","2017-05-31T17:44:28-0500","40","7961","""2015-02-02T00:00:00-0500""","52","52"
"D8R","9EM05550","2018-04-23","40","1234","""""","18","<0"
"336DL","W3K00424","2017-11-03T00:00:00-0600","40","8244","""2009-10-13T00:00:00-0600""","24","24"
"320S","US008905","2018-05-23","199.14","5710","""""","12","20"
"PC220LC-6","A54A88886","2018-04-30","40","10579","""""","",""
"D8T","MB800166","2017-10-30","40","5020","""2017-08-15T21:00:00-0300""","23","24"
"324EL","PNW00365","2018-02-28","40","2067","""""","9","9"
"D5KIILGP","KY202344","2018-04-25","40","1599","""""","35","33"
"D5HLGP","8JR04756","2018-06-12","40","9002","""2016-07-28""","0","3"
"D6NXL","MLW00729","2017-05-30T22:58:21-0400","40","5396","""2013-05-29T00:00:00-0400""","73","82"
"374FL","MFL00236","2017-06-09","100","3837","""2017-03-27T00:00:00-0500""","5","5"
"D5MLGP","3DR00800","2018-02-20","40","","""""","<0","<0"
"D6TXWVP","RCW00245","2017-11-27T10:34:56-0500","40","6650","""2016-04-26T00:00:00-0400""","46","44"
"349EL","KFX0664","2018-06-06","40","3448","""2015-01-01""","43","43"
"328DLCR","GTN00174","2017-09-07","40","13285","""2007-05-02T00:00:00Z""","3","3"
"D8T","KPZ02853","2018-02-05","40","","""""","45","43"
"345DL","EEH00759","2018-03-08","40","8557","""""","20","20"
"D4H","8PB04231","2016-10-11T00:00:00Z","40","8229","""2013-01-25T00:00:00-0500""","37","37"
"D6RIIILGP","WRG00847","2016-10-20T09:29:51-0400","40","9983","""2015-10-20T00:00:00-0400""","2","0"
"D6RLGP","ADE00567","2018-03-02","40","5551","""2010-11-16""","66","70"
"D8T","J8B02845","2017-08-14T00:00:00-0500","40","9956","""2016-06-06T00:00:00-0500""","37","35"
"336EL","BZY01487","2017-04-17T13:10:05-0400","40","2956","""2013-09-04T00:00:00-0400""","20","20"
"D11T","GEB00268","2017-03-24T11:38:05-0600","40","39818.5","""2016-04-22T00:00:00Z""","84","64"
"D6TXL","GCT02471","2017-06-12T18:54:44-0500","40","3100","""2015-07-22T00:00:00-0500""","58","56"
"D11R","7PZ01640","2016-12-30T00:00:00-0700","40","57139","""2012-10-22T00:00:00-0600""","28","26"
"345CL","PJW01827","2018-03-26","40","5770","""""","23","30"
"D6NLGP","GHS00445","2017-05-11T16:39:14-0500","40","3327.6","""2010-09-17T00:00:00-0500""","34","34"
"336D2L","MBP10085","2018-02-26","84","530","""2017-01-01""","0","0"
"349F L","BZ200253","2016-05-09T10:34:12-0400","40","3526","""2015-11-15T00:00:00-0500""","17","17"
"330D","LRM00495","2017-11-27T07:03:38+0200","40","12603","""2009-04-15T00:00:00+0200""","28","25"
"D10R","AKT00678","2017-04-17T00:00:00Z","40","69446","""2016-04-18T00:00:00-0600""","23","23"
"D11RCD","SPARE01","2017-02-28T00:00:00Z","40","","""2016-11-08T00:00:00Z""","81",""
"D6KXL","Fbh02591","2017-12-19","40","3839","""""","65","60"
"D8R","7XM02751","2017-11-16","40","1932","""""","35","35"
"D9T","RJS00607","2017-09-25T11:19:37+1000","40","11014","""2015-09-17T00:00:00+1000""","67","67"
"320D","A6F00849","2017-08-10","40","10610","""""","5","<0"
"D5KIILGP","KY200833","2017-08-22T10:55:43-0500","40","1954","""2015-08-20T00:00:00-0500""","17","14"
"D11T","JEL00228","2016-11-10T00:00:00Z","40","","""2015-09-25T00:00:00-0500""","40","42"
"D10T","RJG01549","2017-12-26","40","32770","""""","43","40"
"D6EXL","2MJ01940","2017-09-21T16:15:46-0400","40","19703","""2017-04-25T00:00:00Z""","13","16"
"D11T","GEB00830","2017-06-06T08:13:23-0400","40","","""2014-07-28T00:00:00Z""","9",""
"D6NLGP","MG500622","2018-06-04","40","2761","""""","20","25"
"325D L","A3R01220","2016-01-15T05:00:00+00:00","40","4450","""2008-10-02T00:00:00-0400""","12","16"
"D6NLGP","GHS00418","2017-06-15T00:00:00Z","40","","""2015-07-27T00:00:00Z""","<0","<0"
"D6NLGP","GHS00418","2017-06-15T00:00:00Z","40","","""2015-07-27T00:00:00Z""","",""
"D6NLGP","GHS00418","2017-06-15T00:00:00Z","40","","""2015-07-27T00:00:00Z""","",""
"D8T","MLN01750","2017-04-12T00:00:00-0400","40","6787","""2013-05-17T00:00:00Z""","62","64"
"D10R","3KR01633","2017-10-11T00:00:00-0500","60","94058","""2016-03-18T00:00:00-0500""","50","50"
"313FL","PRG10020","2017-03-27T15:43:37+1300","40","4.8","""2017-01-01T00:00:00+1300""","",""
"D6TLGPVP","ZJB00210","2018-02-01","40","6701","""""","36","38"
"D6NLGP","DJY00860","2018-05-11","15.91","10314","""""","18","18"
"D7E","TAN01245","2018-01-15","40","9717","""2017-10-28""","32","28"
"D9R","WDM01252","2018-01-31","40","46554","""2017-11-11""","33","33"
"320DFMLL","CYZ00360","2017-10-04T11:13:34-0300","40","","""2017-10-04T11:11:04-0300""","53","65"
"D5CIIILGP","6CS00540","2017-12-21","40","5001","""""","44","41"
"336DL","M4T02250","2017-10-19T00:00:00-0500","40","6053","""2015-08-18T00:00:00-0500""","42","45"
"D6TXL","GCT00527","2018-05-10","0","8752","""""","10","10"
"D3KIIXL","KFF00109","2018-06-08","40","2837","""""","28","28"
"D6KLGP","DHA00961","2018-06-19","40","","""2018-03-14""","<0","<0"
"D6NLGP","0mg500746","2018-06-04","38.74","3097","""2016-07-14""","57","57"
"D9T","TWG00465","2017-09-26T00:00:00-0500","40","5464","""2014-12-02T00:00:00-0600""","65","65"
"D10N","2YD75522","2017-07-21T00:00:00Z","40","37985","""2012-02-27T00:00:00-0600""","37","37"
"D11R","7PZ00844","2018-04-24","","95466","""2017-09-11T00:00:00-0600""","48","58"
"D4KIIXL","KW200666","2018-02-23","40","2278","""""","24","28"
"D5GXL","WGB02014","2017-09-12T09:37:55-0400","40","9464","""2014-09-01T00:00:00-0400""","12","16"
"D9T","Rjs00990","2018-02-23","40","27222","""2016-11-01""","106","102"
"D6TXL","TSM00216","2017-01-24T13:54:21+0000","40","4771","""2016-10-13T00:00:00+0100""","10","6"
"330CL","DKY01423","2017-08-15T17:05:49-0400","40","10944","""2016-03-01T00:00:00-0500""","6","6"
"D8R","7XM04832","2016-11-30T00:00:00Z","40","9950","""2016-08-07T19:00:00-0500""","56","57"
"D7RII","BRM00917","2017-12-09T21:45:41-0500","40","22652","""2011-02-04T00:00:00Z""","5","5"
"349EL","MPZ00601","2017-07-05T11:05:51-0400","40","7225","""2013-09-11T00:00:00-0400""","<0","101"
"D11R","9TR00201","2018-06-05","40","58271","""2018-04-14""","16","10"
"345CL","DHP00385","2017-07-15T00:00:00-0500","70","13369","""2017-04-28T00:00:00-0500""","5","5"
"D8T","KPZ03551","2016-06-14T00:00:00Z","40","3738","""2008-06-12T00:00:00-0500""","73","75"
"D8T","FMC01183","2018-02-01","40","499","""2017-11-01""","14","12"
"D5MXL","6GN00500","2017-11-29T19:38:41-0700","40","6279","""2017-11-30T00:00:00Z""","98","88"
"D3B","27Y01875","2018-02-05","40","","""""","40","44"
"D11R","7PZ00483","2017-09-22","40","14286","""2003-08-31T19:00:00-0500""","2","0"
"D8T","FCT00113","2017-09-01T00:00:00-0400","40","4024","""2014-05-15T00:00:00-0400""","46","50"
"D10R","3KR00846","2018-02-20","40","57736","""2016-04-20T00:00:00+0800""","54","48"
"336D2L","ZCT00802","2018-03-07","40","2680","""""","",""
"D10TLRC","3KR00539","2018-04-10","100","2680","""""","","14"
"D11RCD","AAF00196","2017-03-27","40","35418","""""","96","97"
"D5NXL","AGG02637","2018-02-08","40","4880","""""","42","42"
"D9H","90V9782","2018-04-12","8","6862","""""","12","0"
"D11R","7PZ00779","2017-08-16T08:21:23-0600","","97123","""2017-05-01T00:00:00-0600""","22","22"
"D5GLGP","FDW00510","2017-09-14T00:00:00Z","40","5592","""2012-04-01T00:00:00Z""","26","19"
"324D","T2D00502","2017-11-22","40","11774","""""","59","57"
"D5MLGP","3CR00288","2018-05-23","40","11849","""""","23","20"
"D6TXL","GCT00930","2017-11-06","40","10426","""""","","64"
"336D2L","ZCT00207","2018-04-25","40","10810","""""","21","14"
"D6RLGP","9PN00555","2017-11-03T13:08:25-0600","","16812","""2011-11-16T00:00:00-0700""","20","30"
"D6TXL","LAY00838","2018-06-01","40","8825","""""","58","54"
"D7RIIXR","AGN0183","2018-02-17","40","5182","""""","6","6"
"D10R","AKT00512","2016-06-29T07:48:22-0500","40","38300","""2014-01-01T00:00:00-0600""","41","39"
"D6NXL","PER00266","2017-09-21T21:47:31-0400","40","","""2015-09-02T00:00:00-0400""","12","10"
"320CL","PAB06325","2018-03-15","0","3460","""2011-01-07""","23","9"
"D6D","75W02356","2017-08-20T00:00:00Z","40","10725","""2016-04-27T00:00:00-0500""","54","52"
"D10N","2YD02060","2017-10-09","100","17145","""2016-09-21T20:00:00-0400""","99","91"
"D6KIILGP","RST01620","2017-03-14T20:59:27-0400","40","3076","""2016-08-03T00:00:00Z""","47","47"
"320DL","SPN00373","2018-06-05","40","","""2010-12-08T00:00:00Z""","",""
"D5G","FDH01828","2017-11-08","40","8316","""""","58","51"
"D5G","FDH01828","2017-11-08","40","8316","""""","",""
"D5GLGP","RKG03178","2018-03-06","30","","""2011-12-08""","63","63"
"D9T","TWG00390","2018-01-10","40","38047","""2017-07-31T05:00:00000Z""","",""
"D11R","7PZ01455","2017-12-05T14:04:11-0700","","73355","""2017-06-03T00:00:00-0600""","44","44"
"D9T","RJS00186","2018-04-27","75","56872.7","""2016-04-10T00:00:00Z""","46","50"
"D11T","JEL00212","2018-03-27","140","16828.6","""""","55","56"
"320DL","A8F01908","2017-06-16T00:00:00-0300","","6707","""2016-11-03T00:00:00Z""","27","27"
"D10T","Jjw00204","2018-03-20","40","4176","""""","<0","<0"
"D6NLGP","PBA03084","2017-10-17T00:00:00-0500","40","2236","""2017-10-27T00:00:00Z""","33","25"
"330D","NBD00935","2018-02-19","40","17066","""""","35","42"
"330D","NBD00935","2018-02-19","40","17066","""""","35","38"
"D6KXL","WMR00963","2017-11-22T09:26:02+1300","40","","""2013-11-01T00:00:00+1300""","6","6"
"D8T","KPZ02728","2018-05-10","40","7160","""2018-01-01""","84","77"
"321DLCR","TXA00254","2018-04-04","40","8092","""""","32","63"
"D9T","RJS00378","2018-03-14","20","10850","""2012-11-01""","48","43"
"D9T","RJS00378","2018-03-14","20","10850","""2012-11-01""","48","48"
"D9T","RJS00378","2018-03-14","20","10850","""2012-11-01""","48","48"
"D9T","RJS00378","2018-03-14","20","10850","""2012-11-01""","48","43"
"DM45E","007993","2018-02-20","80","27976","""2017-08-20T20:00:00-0400""","43","45"
"330CL","CYA00604","2018-03-23","40","7385","""""","10","10"
"336DL","M4T01950","2017-05-31T19:07:44-0500","40","8578","""2012-08-12T00:00:00Z""","33","47"
"D7E","MDB218","2017-03-14T00:00:00Z","30","4402","""2014-10-07T00:00:00-0400""","69","65"
"374DL","PAS00554 ","2018-03-14","40","19960","""""","24","24"
"D6NLGP","PBA02877","2017-05-11T10:54:47-0400","40","4258","""2015-07-23T00:00:00-0400""","32","30"
"D9R","WDM 02283","2018-05-01","90","31214","""""","2","2"
"D4CIIILGP","4LS00761","2018-06-07","","12288","""""","24",""
"D11T","GEB00318","2017-11-09","40","3451","""2017-04-20T00:00:00Z""","34","34"
"D8RLRC","7XM03817","2017-10-25T11:27:29-0500","40","1494","""2012-12-12T00:00:00Z""","28","28"
"D6RLGP","9PN01935","2018-02-09","40","12096","""""","25","30"
"D6TXL","LAY00611","2017-03-07T14:10:29-0800","40","5458","""2008-03-07T00:00:00-0800""","20","--"
"D9L","14Y01662","2017-03-23","4","7115.8","""""","32","34"
"D6NLGP","GHS00423","2018-05-14","40","1812","""""","5","3"
"D8T","J8B03400","2017-12-23","40","10997","""""","",""
"D10R","AKT00297","2016-09-20T00:00:00Z","40","41531","""2015-06-27T00:00:00-0500""","103","103"
"336DL","J2F00886","2018-05-09","40","6071","""""","24","28"
"330DL","MWP02102","2017-11-07T08:17:33-0600","40","","""2014-12-01T00:00:00Z""","21","24"
"450JLGP","T0450JX107609","2018-04-25","40","248","""""","56","64"
"D5KIIXL","KW200581","2018-05-09","40","1735","""2016-04-27""","41","34"
"D6KLGP","DHA00985","2017-05-26","50","8539","""2010-05-06T00:00:00-0500""","25","--"
"D3KIILGP","KL202125","2017-11-13","40","1257","""2017-02-27T19:00:00-0500""","27","27"
"D8LSA","53Y02990","2017-06-19T11:24:06-0500","40","17670","""2004-04-15T00:00:00-0500""","7","7"
"336FL","RKB01019","2017-10-24T00:00:00Z","40","4010","""2017-08-08T20:00:00-0400""","45","42"
"D6NLGP","MG500755","2018-05-04","40","1633","""2016-01-01""","25","28"
"320DL","A8F01467","2018-02-06","40","13255","""""","70","46"
"D7RII","BRM00917","2018-03-26","40","23954","""""","<0","6"
"D8T","J8B01790","2017-11-21T00:00:00-0600","40","5077","""2014-10-14T00:00:00Z""","18","18"
"D5NLGP","AKD01222","2018-06-14","14.68","8655","""""","100","93"
"336D2L","ZCT00713","2017-08-24T16:35:33-0500","26","2543.5","""2015-05-21T00:00:00-0500""","16","19"
"D6KIILGP","RST00686","2018-01-04","40","7342","""2017-01-01T00:00:00-0600""","40","40"
"D6RIIIXL","GJB01041","2017-11-13T17:17:28-0600","40","8834","""2013-03-07T00:00:00Z""","28","30"
"D6RIIIXL","GJB01041","2017-11-13T17:17:28-0600","40","8834","""2013-03-07T00:00:00Z""","28","32"
"D6RIIIXL","GJB01041","2017-11-13T17:17:28-0600","40","8834","""2013-03-07T00:00:00Z""","26","36"
"D8R","7XMOO770","2018-03-30","40","13000","""2012-02-28""","69","68"
"329D","DJF01290","2018-03-20","40","2849","""2014-11-14""","24","28"
"D7RLGP","3DN00406","2018-04-19","40","33768","""2017-07-16T19:00:00-0500""","8","8"
"336DL","M4T00961","2017-10-18T09:16:17-0500","33","16511","""2014-06-18T00:00:00-0500""","80","74"
"D8T","J8B04744","2017-12-12","40","5917","""2014-09-25""","48","50"
"D8T","FCT01057","2017-09-12T21:43:18-0600","40","3901","""2014-02-16T00:00:00Z""","70","69"
"D9T","REX00414","2018-03-09","40","6641","""2016-01-01T00:00:00Z""","98","96"
"312CL","BWH01272","2018-04-10","40","","""""","0","14"
"963C","BBD02424","2017-02-16T00:00:00Z","","11520","""2013-10-23T00:00:00-0500""","28","32"
"D3","CFC00349","2018-04-26","40","1984","""2002-03-20""","44","32"
"D11T","JEL00323","2017-08-29T11:40:32-0600","40","25773","""2015-10-21T00:00:00Z""","35","67"
"D6TLGP","JRW00309","2018-01-16","40","4483","""""","14","14"
"D3KIILGP","KLL00469","2017-12-19","40","5720","""""","",""
"D5GLGP","RKG2196","2018-04-20","20","3349","""2016-04-26T20:00:00-0400""","20","16"
"336D2L","ZCT00950","2018-03-27","40","8985","""""","38","45"
"308ECR","GBJ00920","2018-06-20","","7106","""2016-01-01""","36","32"
"325DL","SCR00987","2017-11-29","40","24927","""2016-11-01T00:00:00+0000""","42","82"
"D6R","6MR00730","2018-05-23","40","26344","""2017-02-07""","40","30"
"329DL","MNB01319","2017-03-12T17:13:02-0500","40","4377","""2015-10-01T00:00:00-0500""","28","24"
"320D","NBT00420","2017-09-25T09:12:47-0300","","4994","""2016-09-19T00:00:00Z""","32","37"
"345CLWVG","ESD00226","2018-04-05","40","14424","""""",">120","90"
"349EL","HPD00812","2018-05-15","99.17","4198","""2017-06-28""","18","8"
"D7H","5BF05995","2018-05-23","40","1126","""""","32","35"
"D6KIILGP","RST00686","2018-04-13","40","7866","""""","30","33"
"345BIIL","AGS02265","2018-02-13","40","13070","""""","33","38"
"345CLVG","TDG00393","2017-11-28T17:33:28-0500","40","8706","""2016-04-01T00:00:00Z""","43","43"
"330DL","JLP00401","2018-01-11","40","4384","""2016-05-07""","35","35"
"336D2L","MBP10027","2018-01-14","40","2568","""""","7","3"
"D5GLGP","RKG01477","2018-01-12","40","5401","""""","20","23"
"D6NXL","LJR01402","2018-01-03","40","21174","""""","70","65"
"330DL","MWP00474","2017-05-11T00:00:00-0400","40","19971","""2006-05-04T00:00:00-0400""","13","31"
"D8T","FMC00292","2017-08-09T09:39:04-0700","","4093","""2016-04-06T00:00:00-0700""","<0","7"
"320CL","PAB00379","2018-03-05","40","10249","""""","41","28"
"D5KXL","WWW00680","2017-09-28T00:00:00-0700","40","3065","""2010-10-28T00:00:00-0700""","38","35"
"D6KLGP","DHA02283","2018-03-22","40","7699","""""","45","45"
"336D2L","ZCT00333","2017-12-21","40","2000","""2017-01-01""","21","<0"
